"page_number","taxon"
"700","Spinus sp. (goldfinch sp.)"
"701","Acanthis/Spinus sp."
"702","finch sp."
"703","Lapland Longspur"
"704","Chestnut-collared Longspur"
"705","Smith's Longspur"
"706","Snow Bunting"
"707","McKay's Bunting"
"708","Little Bunting"
"709","Rustic Bunting"
"710","Grasshopper Sparrow"
"711","Chipping Sparrow"
"712","Clay-colored Sparrow"
"713","Chipping x Clay-colored Sparrow (hybrid)"
"714","Field Sparrow"
"715","Brewer's Sparrow"
"716","Spizella sp."
"717","Black-throated Sparrow"
"718","Lark Sparrow"
"719","Lark Bunting"
"720","American Tree Sparrow"
"721","Fox Sparrow"
"722","Fox Sparrow (Sooty)"
"723","Fox Sparrow (Thick-billed)"
"724","Fox Sparrow (Slate-colored)"
"725","Fox Sparrow (Red)"
"726","Dark-eyed Junco"
"727","Dark-eyed Junco (Slate-colored/cismontanus)"
"728","Dark-eyed Junco (Slate-colored)"
"729","Dark-eyed Junco (cismontanus)"
"730","Dark-eyed Junco (Oregon)"
"731","Dark-eyed Junco (Gray-headed)"
"732","White-crowned Sparrow"
"733","White-crowned Sparrow (Dark-lored)"
"734","White-crowned Sparrow (oriantha)"
"735","White-crowned Sparrow (Gambel's)"
"736","White-crowned Sparrow (Yellow-billed)"
"737","White-crowned Sparrow (pugetensis)"
"738","Golden-crowned Sparrow"
"739","White-crowned x Golden-crowned Sparrow (hybrid)"
"740","Harris's Sparrow"
"741","White-throated Sparrow"
"742","Zonotrichia sp."
"743","Sagebrush Sparrow"
"744","Vesper Sparrow"
"745","LeConte's Sparrow"
"746","Nelson's Sparrow"
"747","Savannah Sparrow"
"748","Savannah Sparrow (Savannah)"
"749","Song Sparrow"
"750","Song Sparrow (rufina Group)"
"751","Song Sparrow (montana/merrilli)"
"752","Lincoln's Sparrow"
"753","Swamp Sparrow"
"754","Song x Swamp Sparrow (hybrid)"
"755","Green-tailed Towhee"
"756","Spotted Towhee"
"757","Spotted Towhee (oregonus Group)"
"758","Spotted Towhee (maculatus Group)"
"759","sparrow sp."
"760","Yellow-breasted Chat"
"761","Yellow-headed Blackbird"
"762","Bobolink"
"763","Western Meadowlark"
"764","Eastern Meadowlark"
"765","Orchard Oriole"
"766","Hooded Oriole"
"767","Bullock's Oriole"
"768","Baltimore Oriole"
"769","Bullock's x Baltimore Oriole (hybrid)"
"770","Scott's Oriole"
"771","Red-winged Blackbird"
"772","Red-winged Blackbird (Red-winged)"
"773","Tricolored Blackbird"
"774","Red-winged/Tricolored Blackbird"
"775","Brown-headed Cowbird"
"776","Rusty Blackbird"
"777","Brewer's Blackbird"
"778","Common Grackle"
"779","Common Grackle (Bronzed)"
"780","Great-tailed Grackle"
"781","blackbird sp."
"782","Ovenbird"
"783","Northern Waterthrush"
"784","Golden-winged Warbler"
"785","Blue-winged Warbler"
"786","Black-and-white Warbler"
"787","Prothonotary Warbler"
"788","Tennessee Warbler"
"789","Orange-crowned Warbler"
"790","Orange-crowned Warbler (Gray-headed)"
"791","Orange-crowned Warbler (celata)"
"792","Orange-crowned Warbler (orestera)"
"793","Orange-crowned Warbler (lutescens)"
"794","Lucy's Warbler"
"795","Nashville Warbler"
"796","Nashville Warbler (ruficapilla)"
"797","Nashville Warbler (ridgwayi)"
"798","MacGillivray's Warbler"
"799","Mourning Warbler"
"800","Kentucky Warbler"
"801","Common Yellowthroat"
"802","MacGillivray's Warbler x Common Yellowthroat (hybrid)"
"803","Hooded Warbler"
"804","American Redstart"
